Year,Origin_Country_Code,Origin_Country,Age_Group,Exp_per_Night
2018,AT,Austria,15-24,111.0
2018,AT,Austria,25-34,135.0
2018,AT,Austria,35-44,152.0
2018,AT,Austria,45+,138.0
2018,BE,Belgium,15-24,81.0
2018,BE,Belgium,25-34,86.0
2018,BE,Belgium,35-44,74.0
2018,BE,Belgium,45+,94.0
2018,BG,Bulgaria,15-24,33.0
2018,BG,Bulgaria,25-34,45.0
2018,BG,Bulgaria,35-44,41.0
2018,BG,Bulgaria,45+,34.0
2018,CH,Switzerland,15-24,105.0
2018,CH,Switzerland,25-34,120.0
2018,CH,Switzerland,35-44,101.0
2018,CH,Switzerland,45+,130.0
2018,CY,Cyprus,15-24,60.0
2018,CY,Cyprus,25-34,114.0
2018,CY,Cyprus,35-44,141.0
2018,CY,Cyprus,45+,101.0
2018,CZ,Czechia,15-24,40.0
2018,CZ,Czechia,25-34,42.0
2018,CZ,Czechia,35-44,37.0
2018,CZ,Czechia,45+,38.0
2018,DE,Germany,15-24,88.0
2018,DE,Germany,25-34,98.0
2018,DE,Germany,35-44,88.0
2018,DE,Germany,45+,117.0
2018,DK,Denmark,15-24,167.0
2018,DK,Denmark,25-34,135.0
2018,DK,Denmark,35-44,175.0
2018,DK,Denmark,45+,171.0
2018,EE,Estonia,15-24,76.0
2018,EE,Estonia,25-34,90.0
2018,EE,Estonia,35-44,113.0
2018,EE,Estonia,45+,103.0
2018,EL,Greece,15-24,42.0
2018,EL,Greece,25-34,64.0
2018,EL,Greece,35-44,54.0
2018,EL,Greece,45+,46.0
2018,ES,Spain,15-24,60.0
2018,ES,Spain,25-34,78.0
2018,ES,Spain,35-44,65.0
2018,ES,Spain,45+,63.0
2018,FI,Finland,15-24,75.0
2018,FI,Finland,25-34,87.0
2018,FI,Finland,35-44,103.0
2018,FI,Finland,45+,110.0
2018,FR,France,15-24,72.0
2018,FR,France,25-34,79.0
2018,FR,France,35-44,86.0
2018,FR,France,45+,79.0
2018,HR,Croatia,15-24,60.0
2018,HR,Croatia,25-34,67.0
