Year,Country_Filter,Ori,Dest,Trips,Avg_Exp_per_Night
2018,Austria,Austria_,Austria_AT,24820741,113
2020,Austria,Austria_AT,Austria_AT_20,20774834,107
2022,Austria,Austria_AT_20,Austria.,29305026,130
2018,Austria,Austria_,Italy_AT,4115084,156
2020,Austria,Italy_AT,Italy_AT_20,1498222,156
2022,Austria,Italy_AT_20,Italy.,5993038,178
2018,Austria,Austria_,Germany_AT,4087090,156
2020,Austria,Germany_AT,Germany_AT_20,2307072,149
2022,Austria,Germany_AT_20,Germany.,4758051,155
2018,Austria,Austria_,Croatia_AT,2749816,141
2020,Austria,Croatia_AT,Croatia_AT_20,474302,105
2022,Austria,Croatia_AT_20,Croatia.,3097398,147
2018,Austria,Austria_,Spain_AT,1003609,210
2020,Austria,Spain_AT,Spain_AT_20,238061,139
2022,Austria,Spain_AT_20,Spain.,1494235,203
2018,Austria,Austria_,Hungary_AT,686642,129
2020,Austria,Hungary_AT,Hungary_AT_20,403310,96
2022,Austria,Hungary_AT_20,Hungary.,1283084,122
2018,Austria,Austria_,Greece_AT,627479,168
2020,Austria,Greece_AT,Greece_AT_20,181239,123
2022,Austria,Greece_AT_20,Greece.,1118085,183
2018,Austria,Austria_,Czechia_AT,646643,124
2020,Austria,Czechia_AT,Czechia_AT_20,214740,113
2022,Austria,Czechia_AT_20,Czechia.,898078,147
2018,Austria,Austria_,France_AT,466788,203
2020,Austria,France_AT,France_AT_20,161757,128
2022,Austria,France_AT_20,France.,753076,224
2018,Austria,Austria_,Slovakia_AT,245680,154
2020,Austria,Slovakia_AT,Slovakia_AT_20,182625,71
2022,Austria,Slovakia_AT_20,Slovakia.,732199,102
2018,Belgium,Belgium_,Belgium_BE,7588577,59
2020,Belgium,Belgium_BE,Belgium_BE_20,6745442,53
2022,Belgium,Belgium_BE_20,Belgium.,9244496,75
2018,Belgium,Belgium_,France_BE,7873508,88
2020,Belgium,France_BE,France_BE_20,4410211,75
2022,Belgium,France_BE_20,France.,8271009,105
2018,Belgium,Belgium_,Spain_BE,3108084,105
2020,Belgium,Spain_BE,Spain_BE_20,942672,81
