Year,Origin_Country_Code,Origin_Country,Destination_Country_Code,Destination_Country,Trips
2018,AT,Austria,IT,Italy,4115084
2020,AT,Austria,IT,Italy,1498222
2022,AT,Austria,IT,Italy,5993038
2018,AT,Austria,DE,Germany,4087090
2020,AT,Austria,DE,Germany,2307072
2022,AT,Austria,DE,Germany,4758051
2018,AT,Austria,HR,Croatia,2749816
2020,AT,Austria,HR,Croatia,474302
2022,AT,Austria,HR,Croatia,3097398
2018,AT,Austria,ES,Spain,1003609
2020,AT,Austria,ES,Spain,238061
2022,AT,Austria,ES,Spain,1494235
2018,AT,Austria,HU,Hungary,686642
2020,AT,Austria,HU,Hungary,403310
2022,AT,Austria,HU,Hungary,1283084
2018,AT,Austria,EL,Greece,627479
2020,AT,Austria,EL,Greece,181239
2022,AT,Austria,EL,Greece,1118085
2018,AT,Austria,CZ,Czechia,646643
2020,AT,Austria,CZ,Czechia,214740
2022,AT,Austria,CZ,Czechia,898078
2018,AT,Austria,FR,France,466788
2020,AT,Austria,FR,France,161757
2022,AT,Austria,FR,France,753076
2018,AT,Austria,SK,Slovakia,245680
2020,AT,Austria,SK,Slovakia,182625
2022,AT,Austria,SK,Slovakia,732199
2018,BE,Belgium,FR,France,7873508
2020,BE,Belgium,FR,France,4410211
2022,BE,Belgium,FR,France,8271009
2018,BE,Belgium,ES,Spain,3108084
2020,BE,Belgium,ES,Spain,942672
2022,BE,Belgium,ES,Spain,3353852
2018,BE,Belgium,NL,Netherlands,2577468
2020,BE,Belgium,NL,Netherlands,1283312
2022,BE,Belgium,NL,Netherlands,2811678
2018,BE,Belgium,IT,Italy,1640908
2020,BE,Belgium,IT,Italy,819216
2022,BE,Belgium,IT,Italy,2075728
2018,BE,Belgium,DE,Germany,1615950
2020,BE,Belgium,DE,Germany,772016
2022,BE,Belgium,DE,Germany,1654085
2018,BE,Belgium,AT,Austria,648229
2020,BE,Belgium,AT,Austria,490062
2022,BE,Belgium,AT,Austria,718019
2018,BE,Belgium,PT,Portugal,738442
2020,BE,Belgium,PT,Portugal,220939
2022,BE,Belgium,PT,Portugal,710286
2018,BE,Belgium,EL,Greece,719719
2020,BE,Belgium,EL,Greece,192196
2022,BE,Belgium,EL,Greece,680549
2018,BE,Belgium,TR,Turkey,438260
2020,BE,Belgium,TR,Turkey,187636
2022,BE,Belgium,TR,Turkey,628847
2018,BG,Bulgaria,EL,Greece,546028
2020,BG,Bulgaria,EL,Greece,49692
2022,BG,Bulgaria,EL,Greece,501171
2018,BG,Bulgaria,TR,Turkey,484641
2020,BG,Bulgaria,TR,Turkey,45870
2022,BG,Bulgaria,TR,Turkey,463239
2018,HR,Croatia,DE,Germany,652080
2020,HR,Croatia,DE,Germany,148783
2022,HR,Croatia,DE,Germany,281920
2018,HR,Croatia,IT,Italy,425300
2020,HR,Croatia,IT,Italy,26685
2022,HR,Croatia,IT,Italy,225814
2018,HR,Croatia,SI,Slovenia,341944
2020,HR,Croatia,SI,Slovenia,97900
2022,HR,Croatia,SI,Slovenia,217916
2018,HR,Croatia,AT,Austria,331450
2020,HR,Croatia,AT,Austria,126894
2022,HR,Croatia,AT,Austria,215679
2018,CY,Cyprus,EL,Greece,1079191
2020,CY,Cyprus,EL,Greece,337486
2022,CY,Cyprus,EL,Greece,910414
2018,CY,Cyprus,UK,United Kingdom,407504
2020,CY,Cyprus,UK,United Kingdom,142427
2022,CY,Cyprus,UK,United Kingdom,330422
2018,CZ,Czechia,SK,Slovakia,3151884
2020,CZ,Czechia,SK,Slovakia,1396176
2022,CZ,Czechia,SK,Slovakia,2337398
2018,CZ,Czechia,HR,Croatia,1640541
2020,CZ,Czechia,HR,Croatia,823712
2022,CZ,Czechia,HR,Croatia,1709560
2018,CZ,Czechia,IT,Italy,1441962
2020,CZ,Czechia,IT,Italy,298323
2022,CZ,Czechia,IT,Italy,1238527
2018,CZ,Czechia,AT,Austria,1489238
2020,CZ,Czechia,AT,Austria,734076
2022,CZ,Czechia,AT,Austria,1089950
2018,CZ,Czechia,PL,Poland,440486
2020,CZ,Czechia,PL,Poland,81779
2022,CZ,Czechia,PL,Poland,866368
2018,CZ,Czechia,DE,Germany,760432
2020,CZ,Czechia,DE,Germany,251742
2022,CZ,Czechia,DE,Germany,537166
2018,EE,Estonia,FI,Finland,488536
2020,EE,Estonia,FI,Finland,245136
2022,EE,Estonia,FI,Finland,288410
2018,EE,Estonia,LV,Latvia,410585
2020,EE,Estonia,LV,Latvia,183830
2022,EE,Estonia,LV,Latvia,249638
2018,EE,Estonia,SE,Sweden,389004
2020,EE,Estonia,SE,Sweden,32319
2022,EE,Estonia,SE,Sweden,159688
2018,EE,Estonia,ES,Spain,162525
2020,EE,Estonia,ES,Spain,42722
2022,EE,Estonia,ES,Spain,119620
2018,EE,Estonia,LT,Lithuania,131534
2020,EE,Estonia,LT,Lithuania,59807
2022,EE,Estonia,LT,Lithuania,65438
2018,FI,Finland,EE,Estonia,3370540
2020,FI,Finland,EE,Estonia,1240956
2022,FI,Finland,EE,Estonia,2384125
2018,FI,Finland,SE,Sweden,3575482
2020,FI,Finland,SE,Sweden,690784
2022,FI,Finland,SE,Sweden,2206942
2018,FI,Finland,ES,Spain,1700010
2020,FI,Finland,ES,Spain,531992
2022,FI,Finland,ES,Spain,1202062
2018,FI,Finland,DE,Germany,1000236
2020,FI,Finland,DE,Germany,77519
2022,FI,Finland,DE,Germany,547063
2018,FI,Finland,NO,Norway,582703
2020,FI,Finland,NO,Norway,213573
2022,FI,Finland,NO,Norway,478723
2018,FR,France,ES,Spain,11191181
2020,FR,France,ES,Spain,3854666
2022,FR,France,ES,Spain,11621942
2018,FR,France,IT,Italy,7418489
2020,FR,France,IT,Italy,2403958
2022,FR,France,IT,Italy,7126928
2018,FR,France,DE,Germany,3878499
2020,FR,France,DE,Germany,2171524
2022,FR,France,DE,Germany,4192648
2018,FR,France,BE,Belgium,4004090
2020,FR,France,BE,Belgium,2256017
2022,FR,France,BE,Belgium,3467078
2018,FR,France,PT,Portugal,3064428
2020,FR,France,PT,Portugal,1351942
2022,FR,France,PT,Portugal,3414229
2018,FR,France,UK,United Kingdom,3873574
2020,FR,France,UK,United Kingdom,1185165
2022,FR,France,UK,United Kingdom,2484803
2018,FR,France,EL,Greece,2306526
2020,FR,France,EL,Greece,521667
2022,FR,France,EL,Greece,2253359
2018,FR,France,CH,Switzerland,1837414
2020,FR,France,CH,Switzerland,1296980
2022,FR,France,CH,Switzerland,1940822
2018,FR,France,NL,Netherlands,1288508
2020,FR,France,NL,Netherlands,384140
2022,FR,France,NL,Netherlands,1601578
2018,DE,Germany,IT,Italy,27145385
2020,DE,Germany,IT,Italy,8302342
2022,DE,Germany,IT,Italy,24128633
2018,DE,Germany,AT,Austria,28791206
2020,DE,Germany,AT,Austria,14988053
2022,DE,Germany,AT,Austria,23815520
2018,DE,Germany,ES,Spain,23343356
2020,DE,Germany,ES,Spain,5108760
2022,DE,Germany,ES,Spain,18309537
2018,DE,Germany,FR,France,12286662
2020,DE,Germany,FR,France,5306812
2022,DE,Germany,FR,France,12149950
2018,DE,Germany,NL,Netherlands,14826694
2020,DE,Germany,NL,Netherlands,8163410
2022,DE,Germany,NL,Netherlands,11566137
2018,DE,Germany,EL,Greece,6301584
2020,DE,Germany,EL,Greece,1867433
2022,DE,Germany,EL,Greece,6743737
2018,DE,Germany,HR,Croatia,3997984
2020,DE,Germany,HR,Croatia,1856648
2022,DE,Germany,HR,Croatia,6593975
2018,DE,Germany,DK,Denmark,3572696
2020,DE,Germany,DK,Denmark,2064779
2022,DE,Germany,DK,Denmark,5836236
2018,DE,Germany,PL,Poland,7202152
2020,DE,Germany,PL,Poland,3282426
2022,DE,Germany,PL,Poland,5540036
2018,EL,Greece,IT,Italy,176752
2020,EL,Greece,IT,Italy,24324
2022,EL,Greece,IT,Italy,215502
2018,EL,Greece,UK,United Kingdom,132040
2020,EL,Greece,UK,United Kingdom,57268
2022,EL,Greece,UK,United Kingdom,152444
2018,EL,Greece,DE,Germany,112292
2020,EL,Greece,DE,Germany,65065
2022,EL,Greece,DE,Germany,136614
2018,EL,Greece,CY,Cyprus,101451
2020,EL,Greece,CY,Cyprus,15836
2022,EL,Greece,CY,Cyprus,76010
2018,EL,Greece,BG,Bulgaria,122004
2020,EL,Greece,BG,Bulgaria,14748
2022,EL,Greece,BG,Bulgaria,67648
