Year,Origin_Country_Code,Origin_Country,Destination_Country_Code,Destination_Country,Avg_Exp_per_Night
2018,AT,Austria,AT,Austria,113
2018,AT,Austria,BE,Belgium,341
2018,AT,Austria,BG,Bulgaria,122
2018,AT,Austria,CH,Switzerland,170
2018,AT,Austria,CY,Cyprus,179
2018,AT,Austria,CZ,Czechia,124
2018,AT,Austria,DE,Germany,156
2018,AT,Austria,EL,Greece,168
2018,AT,Austria,ES,Spain,210
2018,AT,Austria,FR,France,203
2018,AT,Austria,HR,Croatia,141
2018,AT,Austria,HU,Hungary,129
2018,AT,Austria,IE,Ireland,169
2018,AT,Austria,IT,Italy,156
2018,AT,Austria,NL,Netherlands,152
2018,AT,Austria,NO,Norway,205
2018,AT,Austria,PL,Poland,96
2018,AT,Austria,PT,Portugal,164
2018,AT,Austria,RO,Romania,99
2018,AT,Austria,SE,Sweden,174
2018,AT,Austria,SI,Slovenia,140
2018,AT,Austria,SK,Slovakia,154
2018,AT,Austria,TR,Turkey,98
2018,AT,Austria,UK,United Kingdom,175
2018,BE,Belgium,AT,Austria,120
2018,BE,Belgium,BE,Belgium,59
2018,BE,Belgium,BG,Bulgaria,37
2018,BE,Belgium,CH,Switzerland,137
2018,BE,Belgium,CZ,Czechia,68
2018,BE,Belgium,DE,Germany,112
2018,BE,Belgium,DK,Denmark,112
2018,BE,Belgium,EL,Greece,103
2018,BE,Belgium,ES,Spain,105
2018,BE,Belgium,FR,France,88
2018,BE,Belgium,HR,Croatia,100
2018,BE,Belgium,HU,Hungary,71
2018,BE,Belgium,IE,Ireland,149
2018,BE,Belgium,IT,Italy,111
2018,BE,Belgium,LU,Luxembourg,124
2018,BE,Belgium,MT,Malta,119
2018,BE,Belgium,NL,Netherlands,87
2018,BE,Belgium,NO,Norway,116
2018,BE,Belgium,PL,Poland,103
2018,BE,Belgium,PT,Portugal,111
2018,BE,Belgium,RO,Romania,32
2018,BE,Belgium,SE,Sweden,139
2018,BE,Belgium,SI,Slovenia,56
2018,BE,Belgium,TR,Turkey,56
2018,BE,Belgium,UK,United Kingdom,140
2018,BG,Bulgaria,BG,Bulgaria,31
2018,BG,Bulgaria,DE,Germany,36
2018,BG,Bulgaria,EL,Greece,60
2018,BG,Bulgaria,IT,Italy,71
2018,BG,Bulgaria,RO,Romania,54
2018,BG,Bulgaria,TR,Turkey,61
2018,BG,Bulgaria,UK,United Kingdom,22
2018,CH,Switzerland,AT,Austria,149
2018,CH,Switzerland,CH,Switzerland,96
2018,CH,Switzerland,DE,Germany,122
2018,CH,Switzerland,EL,Greece,122
2018,CH,Switzerland,ES,Spain,140
2018,CH,Switzerland,FR,France,105
2018,CH,Switzerland,HR,Croatia,72
2018,CH,Switzerland,IT,Italy,124
2018,CH,Switzerland,NL,Netherlands,101
2018,CH,Switzerland,PT,Portugal,96
2018,CH,Switzerland,TR,Turkey,118
2018,CH,Switzerland,UK,United Kingdom,218
2018,CY,Cyprus,BG,Bulgaria,57
2018,CY,Cyprus,CY,Cyprus,50
2018,CY,Cyprus,DE,Germany,123
2018,CY,Cyprus,EL,Greece,151
2018,CY,Cyprus,IT,Italy,250
2018,CY,Cyprus,UK,United Kingdom,86
2018,CZ,Czechia,AT,Austria,80
2018,CZ,Czechia,BG,Bulgaria,78
2018,CZ,Czechia,CH,Switzerland,100
2018,CZ,Czechia,CZ,Czechia,22
2018,CZ,Czechia,DE,Germany,97
2018,CZ,Czechia,EL,Greece,81
