Year,Origin_Country,Destination_Country,Transport,Accomodation,Restaurants
2018,Belgium,Belgium,9,30,13
2019,Belgium,Belgium,9,33,16
2020,Belgium,Belgium,7,29,14
2021,Belgium,Belgium,9,32,18
2022,Belgium,Belgium,9,35,26
2018,Belgium,France,23,39,17
2019,Belgium,France,24,38,20
2020,Belgium,France,19,33,17
2021,Belgium,France,21,30,20
2022,Belgium,France,23,42,30
2018,Belgium,Spain,37,41,18
2019,Belgium,Spain,38,46,24
2020,Belgium,Spain,36,22,17
2021,Belgium,Spain,38,38,29
2022,Belgium,Spain,42,44,30
2018,Belgium,Netherlands,16,41,20
2019,Belgium,Netherlands,19,41,18
2020,Belgium,Netherlands,13,37,17
2021,Belgium,Netherlands,14,41,24
2022,Belgium,Netherlands,14,46,27
2018,Belgium,Italy,35,47,17
2019,Belgium,Italy,39,47,20
2020,Belgium,Italy,28,32,17
2021,Belgium,Italy,41,48,29
2022,Belgium,Italy,42,55,33
2018,Belgium,Germany,28,51,20
2019,Belgium,Germany,23,44,18
2020,Belgium,Germany,22,43,19
2021,Belgium,Germany,20,40,21
2022,Belgium,Germany,24,44,29
2018,Belgium,Austria,34,55,18
2019,Belgium,Austria,39,78,20
2020,Belgium,Austria,31,63,22
2021,Belgium,Austria,23,59,16
2022,Belgium,Austria,34,66,32
2018,Belgium,Portugal,36,50,15
2019,Belgium,Portugal,47,44,23
2020,Belgium,Portugal,16,24,15
2021,Belgium,Portugal,32,37,23
2022,Belgium,Portugal,52,36,33
2018,Belgium,Greece,26,57,9
2019,Belgium,Greece,26,51,8
2020,Belgium,Greece,16,28,8
2021,Belgium,Greece,34,51,12
2022,Belgium,Greece,42,52,25
2018,Belgium,Turkey,13,34,2
2019,Belgium,Turkey,23,48,6
2020,Belgium,Turkey,11,14,7
2021,Belgium,Turkey,16,22,8
2022,Belgium,Turkey,21,22,14
2018,Bulgaria,Bulgaria,6,8,12
2019,Bulgaria,Bulgaria,7,9,14
2020,Bulgaria,Bulgaria,9,12,17
2021,Bulgaria,Bulgaria,9,15,19
2022,Bulgaria,Bulgaria,11,19,24
2018,Bulgaria,Greece,14,20,17
2019,Bulgaria,Greece,12,18,21
2020,Bulgaria,Greece,21,34,26
2021,Bulgaria,Greece,9,18,18
2022,Bulgaria,Greece,19,31,34
2018,Bulgaria,Turkey,15,18,14
2019,Bulgaria,Turkey,25,18,18
2020,Bulgaria,Turkey,28,40,25
2021,Bulgaria,Turkey,19,22,19
2022,Bulgaria,Turkey,19,23,30
2018,Croatia,Croatia,14,13,11
2019,Croatia,Croatia,13,11,11
2020,Croatia,Croatia,11,10,10
2021,Croatia,Croatia,13,16,10
2022,Croatia,Croatia,14,18,12
2018,Croatia,Germany,47,29,24
2019,Croatia,Germany,36,15,14
2020,Croatia,Germany,12,8,10
2021,Croatia,Germany,9,9,5
2022,Croatia,Germany,37,22,21
2018,Croatia,Italy,35,36,28
2019,Croatia,Italy,39,44,32
2020,Croatia,Italy,15,30,32
2021,Croatia,Italy,30,32,24
2022,Croatia,Italy,30,51,28
2018,Croatia,Slovenia,20,30,21
2019,Croatia,Slovenia,24,29,25
2020,Croatia,Slovenia,19,27,20
2021,Croatia,Slovenia,27,32,25
2022,Croatia,Slovenia,19,40,33
2018,Croatia,Austria,31,26,22
2019,Croatia,Austria,30,27,25
2020,Croatia,Austria,22,17,15
2021,Croatia,Austria,26,19,23
2022,Croatia,Austria,30,24,21
2018,Cyprus,Cyprus,5,14,17
2019,Cyprus,Cyprus,6,15,17
2020,Cyprus,Cyprus,6,18,18
2021,Cyprus,Cyprus,5,19,21
2022,Cyprus,Cyprus,7,19,23
2018,Cyprus,Greece,46,31,36
2019,Cyprus,Greece,53,28,38
2020,Cyprus,Greece,43,19,30
2021,Cyprus,Greece,42,24,32
2022,Cyprus,Greece,56,34,40
2018,Cyprus,United Kingdom,27,17,19
2019,Cyprus,United Kingdom,74,38,32
2020,Cyprus,United Kingdom,18,17,13
2021,Cyprus,United Kingdom,14,30,16
2022,Cyprus,United Kingdom,32,23,20
2018,Czechia,Czechia,4,6,4
2019,Czechia,Czechia,4,6,4
2020,Czechia,Czechia,3,5,4
2021,Czechia,Czechia,4,6,4
2022,Czechia,Czechia,5,9,5
2018,Czechia,Slovakia,9,12,8
2019,Czechia,Slovakia,11,14,9
2020,Czechia,Slovakia,9,17,8
2021,Czechia,Slovakia,11,14,8
2022,Czechia,Slovakia,12,13,10
2018,Czechia,Croatia,10,21,10
2019,Czechia,Croatia,11,22,12
2020,Czechia,Croatia,9,19,9
2021,Czechia,Croatia,10,26,8
2022,Czechia,Croatia,11,28,14
2018,Czechia,Italy,26,28,18
2019,Czechia,Italy,23,30,17
2020,Czechia,Italy,13,21,17
2021,Czechia,Italy,16,24,15
2022,Czechia,Italy,27,42,23
2018,Czechia,Austria,13,32,15
2019,Czechia,Austria,15,28,13
2020,Czechia,Austria,13,36,13
2021,Czechia,Austria,13,35,14
2022,Czechia,Austria,14,36,14
2018,Czechia,Poland,13,17,10
2019,Czechia,Poland,14,20,11
2020,Czechia,Poland,12,20,10
2021,Czechia,Poland,9,18,11
2022,Czechia,Poland,12,23,11
2018,Czechia,Germany,20,42,17
2019,Czechia,Germany,18,23,13
2020,Czechia,Germany,29,29,20
2021,Czechia,Germany,27,40,16
2022,Czechia,Germany,22,22,18
2018,Estonia,Estonia,17,13,18
2019,Estonia,Estonia,17,15,17
2020,Estonia,Estonia,21,20,18
2021,Estonia,Estonia,19,23,21
2022,Estonia,Estonia,19,27,23
2018,Estonia,Finland,33,17,18
2019,Estonia,Finland,36,27,19
2020,Estonia,Finland,25,22,21
2021,Estonia,Finland,25,27,21
2022,Estonia,Finland,36,27,23
2018,Estonia,Latvia,35,44,36
2019,Estonia,Latvia,51,46,36
2020,Estonia,Latvia,28,41,34
2021,Estonia,Latvia,61,54,56
2022,Estonia,Latvia,42,54,42
2018,Estonia,Sweden,37,25,20
2019,Estonia,Sweden,38,34,31
2020,Estonia,Sweden,23,16,13
2021,Estonia,Sweden,45,43,38
2022,Estonia,Sweden,53,37,33
2018,Estonia,Spain,49,57,31
2019,Estonia,Spain,42,40,32
2020,Estonia,Spain,20,26,16
2021,Estonia,Spain,30,32,22
2022,Estonia,Spain,48,45,29
2018,Estonia,Lithuania,48,50,27
2019,Estonia,Lithuania,58,61,41
2020,Estonia,Lithuania,32,46,36
2022,Estonia,Lithuania,53,66,39
2018,Finland,Finland,21,16,15
2019,Finland,Finland,18,16,13
2020,Finland,Finland,14,12,9
2021,Finland,Finland,14,11,9
2022,Finland,Finland,19,16,12
2018,Finland,Estonia,33,34,46
2019,Finland,Estonia,21,38,28
2020,Finland,Estonia,19,33,30
2021,Finland,Estonia,22,20,33
2022,Finland,Estonia,22,41,33
2018,Finland,Sweden,54,39,36
2019,Finland,Sweden,36,38,25
2020,Finland,Sweden,26,47,21
2021,Finland,Sweden,56,35,44
2022,Finland,Sweden,46,49,28
2018,Finland,Spain,34,33,21
2019,Finland,Spain,40,41,21
