Year,Month,Full_Date,Destination_Country_Code,Destination_Country,Arrivals
2018,1,2018-01-01,AT,Austria,3134889.0
2018,2,2018-02-01,AT,Austria,3445384.0
2018,3,2018-03-01,AT,Austria,3514333.0
2018,4,2018-04-01,AT,Austria,2311581.0
2018,5,2018-05-01,AT,Austria,3000330.0
2018,6,2018-06-01,AT,Austria,3475041.0
2018,7,2018-07-01,AT,Austria,4763540.0
2018,8,2018-08-01,AT,Austria,4887500.0
2018,9,2018-09-01,AT,Austria,3583753.0
2018,10,2018-10-01,AT,Austria,2770956.0
2018,11,2018-11-01,AT,Austria,2070009.0
2018,12,2018-12-01,AT,Austria,3136164.0
2019,1,2019-01-01,AT,Austria,3129184.0
2019,2,2019-02-01,AT,Austria,3505327.0
2019,3,2019-03-01,AT,Austria,3471046.0
2019,4,2019-04-01,AT,Austria,2561382.0
2019,5,2019-05-01,AT,Austria,2823461.0
2019,6,2019-06-01,AT,Austria,3962009.0
2019,7,2019-07-01,AT,Austria,4810243.0
2019,8,2019-08-01,AT,Austria,5125780.0
2019,9,2019-09-01,AT,Austria,3620257.0
2019,10,2019-10-01,AT,Austria,2937099.0
2019,11,2019-11-01,AT,Austria,2087122.0
2019,12,2019-12-01,AT,Austria,3288521.0
2020,1,2020-01-01,AT,Austria,3435324.0
2020,2,2020-02-01,AT,Austria,3816610.0
2020,3,2020-03-01,AT,Austria,1124431.0
2020,4,2020-04-01,AT,Austria,43397.0
2020,5,2020-05-01,AT,Austria,219739.0
2020,6,2020-06-01,AT,Austria,1487572.0
2020,7,2020-07-01,AT,Austria,3449498.0
2020,8,2020-08-01,AT,Austria,4001716.0
2020,9,2020-09-01,AT,Austria,2529359.0
2020,10,2020-10-01,AT,Austria,1224544.0
2020,11,2020-11-01,AT,Austria,202294.0
2020,12,2020-12-01,AT,Austria,137160.0
2021,1,2021-01-01,AT,Austria,138261.0
2021,2,2021-02-01,AT,Austria,163900.0
2021,3,2021-03-01,AT,Austria,221981.0
2021,4,2021-04-01,AT,Austria,211800.0
2021,5,2021-05-01,AT,Austria,796351.0
2021,6,2021-06-01,AT,Austria,2006445.0
2021,7,2021-07-01,AT,Austria,3738430.0
2021,8,2021-08-01,AT,Austria,4608339.0
2021,9,2021-09-01,AT,Austria,3242361.0
2021,10,2021-10-01,AT,Austria,2451663.0
2021,11,2021-11-01,AT,Austria,951134.0
2021,12,2021-12-01,AT,Austria,1227319.0
2022,1,2022-01-01,AT,Austria,1940725.0
2022,2,2022-02-01,AT,Austria,2551328.0
2022,3,2022-03-01,AT,Austria,2438160.0
2022,4,2022-04-01,AT,Austria,2089090.0
2022,5,2022-05-01,AT,Austria,2433989.0
2022,6,2022-06-01,AT,Austria,3530920.0
2022,7,2022-07-01,AT,Austria,4725858.0
2022,8,2022-08-01,AT,Austria,4900771.0
2022,9,2022-09-01,AT,Austria,3510036.0
2022,10,2022-10-01,AT,Austria,2685354.0
2022,11,2022-11-01,AT,Austria,1780340.0
2022,12,2022-12-01,AT,Austria,2983103.0
2023,1,2023-01-01,AT,Austria,3097126.0
2023,2,2023-02-01,AT,Austria,3407388.0
2023,3,2023-03-01,AT,Austria,3001908.0
2023,4,2023-04-01,AT,Austria,2458352.0
2023,5,2023-05-01,AT,Austria,2849313.0
2023,6,2023-06-01,AT,Austria,3843512.0
2023,7,2023-07-01,AT,Austria,5010502.0
2023,8,2023-08-01,AT,Austria,4973951.0
2023,9,2023-09-01,AT,Austria,3918471.0
2023,10,2023-10-01,AT,Austria,2824553.0
2018,1,2018-01-01,BE,Belgium,901317.0
2018,2,2018-02-01,BE,Belgium,1073754.0
2018,3,2018-03-01,BE,Belgium,1352528.0
2018,4,2018-04-01,BE,Belgium,1548133.0
2018,5,2018-05-01,BE,Belgium,1664260.0
2018,6,2018-06-01,BE,Belgium,1547102.0
2018,7,2018-07-01,BE,Belgium,1878169.0
2018,8,2018-08-01,BE,Belgium,1856886.0
2018,9,2018-09-01,BE,Belgium,1546953.0
2018,10,2018-10-01,BE,Belgium,1580995.0
2018,11,2018-11-01,BE,Belgium,1308645.0
2018,12,2018-12-01,BE,Belgium,1301173.0
2019,1,2019-01-01,BE,Belgium,905345.0
2019,2,2019-02-01,BE,Belgium,1092706.0
2019,3,2019-03-01,BE,Belgium,1350375.0
2019,4,2019-04-01,BE,Belgium,1715040.0
2019,5,2019-05-01,BE,Belgium,1632600.0
2019,6,2019-06-01,BE,Belgium,1654836.0
2019,7,2019-07-01,BE,Belgium,1904684.0
2019,8,2019-08-01,BE,Belgium,1916367.0
2019,9,2019-09-01,BE,Belgium,1574149.0
2019,10,2019-10-01,BE,Belgium,1621983.0
2019,11,2019-11-01,BE,Belgium,1344898.0
2019,12,2019-12-01,BE,Belgium,1344628.0
2020,1,2020-01-01,BE,Belgium,972661.0
2020,2,2020-02-01,BE,Belgium,1175643.0
2020,3,2020-03-01,BE,Belgium,425916.0
2020,4,2020-04-01,BE,Belgium,15481.0
2020,5,2020-05-01,BE,Belgium,31002.0
2020,6,2020-06-01,BE,Belgium,413333.0
2020,7,2020-07-01,BE,Belgium,1368513.0
2020,8,2020-08-01,BE,Belgium,1149119.0
2020,9,2020-09-01,BE,Belgium,842356.0
2020,10,2020-10-01,BE,Belgium,521460.0
2020,11,2020-11-01,BE,Belgium,204563.0
2020,12,2020-12-01,BE,Belgium,256370.0
2021,2,2021-02-01,BE,Belgium,392047.0
2021,3,2021-03-01,BE,Belgium,358462.0
2021,4,2021-04-01,BE,Belgium,621669.0
2021,5,2021-05-01,BE,Belgium,730039.0
2021,6,2021-06-01,BE,Belgium,868451.0
2021,7,2021-07-01,BE,Belgium,1546924.0
2021,8,2021-08-01,BE,Belgium,1583135.0
2021,9,2021-09-01,BE,Belgium,1261974.0
2021,10,2021-10-01,BE,Belgium,1402690.0
2021,11,2021-11-01,BE,Belgium,1057735.0
2021,12,2021-12-01,BE,Belgium,921920.0
2022,1,2022-01-01,BE,Belgium,741365.0
2022,2,2022-02-01,BE,Belgium,914927.0
2022,3,2022-03-01,BE,Belgium,1188330.0
2022,4,2022-04-01,BE,Belgium,1605248.0
2022,5,2022-05-01,BE,Belgium,1636083.0
