Year,Holiday_Leisure,Personal,Business,Visit_friend_family,Avg_Exp_per_Trip_EUR,total_trips
2013,2351967934,4233767314,556895282,1664181094,431,8806811624
2014,2060983844,3796670173,471202340,1533799343,423,7862655700
2015,2043818914,3793573991,427817338,1553773167,431,7818983410
2016,2145775125,3897603682,464851197,1555073725,434,8063303729
2017,2260845463,4076973778,514108531,1597863330,463,8449791102
2018,2418255835,4200292554,529517055,1549632772,485,8697698216
2019,2379038656,4153146780,505205314,1546174912,463,8583565662
2020,1430178656,2673806553,242439742,1077931676,417,5424356627
2021,1790918130,3354131038,289057358,1347825018,462,6781931544
2022,2218403218,3830229505,392191761,1361728893,525,7802553377
