Year,Origin_Country_Code,Origin_Country,Destination_Country_Code,Destination_Country,Purpose,Duration,Expenditure_Type,Total_Expenditure_EUR,Avg_Exp_per_Trip_EUR,Avg_Exp_per_Night_EUR
2019,BE,Belgium,AT,Austria,Total,From 1 to 3 nights,Total excluding durable/valuable goods,30627342.0,583.16,243.18
2022,BE,Belgium,AT,Austria,Total,From 1 to 3 nights,Total excluding durable/valuable goods,23723383.0,472.02,192.0
2019,CH,Switzerland,AT,Austria,Total,From 1 to 3 nights,Total excluding durable/valuable goods,198320947.0,548.36,261.27
2019,CZ,Czechia,AT,Austria,Total,From 1 to 3 nights,Total excluding durable/valuable goods,66436802.0,206.72,89.32
2022,CZ,Czechia,AT,Austria,Total,From 1 to 3 nights,Total excluding durable/valuable goods,52993163.0,250.39,99.34
2019,DE,Germany,AT,Austria,Total,From 1 to 3 nights,Total excluding durable/valuable goods,1454251868.0,351.93,152.85
2022,DE,Germany,AT,Austria,Total,From 1 to 3 nights,Total excluding durable/valuable goods,1813898519.0,449.21,198.48
2019,ES,Spain,AT,Austria,Total,From 1 to 3 nights,Total excluding durable/valuable goods,50932946.0,502.77,197.98
2019,FR,France,AT,Austria,Total,From 1 to 3 nights,Total excluding durable/valuable goods,57389018.0,553.04,201.15
2019,HR,Croatia,AT,Austria,Total,From 1 to 3 nights,Total excluding durable/valuable goods,32747574.0,255.37,144.0
2022,HR,Croatia,AT,Austria,Total,From 1 to 3 nights,Total excluding durable/valuable goods,18613476.0,268.7,133.62
2019,HU,Hungary,AT,Austria,Total,From 1 to 3 nights,Total excluding durable/valuable goods,67801611.0,136.4,70.59
2022,HU,Hungary,AT,Austria,Total,From 1 to 3 nights,Total excluding durable/valuable goods,86040814.0,158.27,70.83
2019,IT,Italy,AT,Austria,Total,From 1 to 3 nights,Total excluding durable/valuable goods,127873753.0,330.53,176.57
2022,IT,Italy,AT,Austria,Total,From 1 to 3 nights,Total excluding durable/valuable goods,122574896.0,419.58,176.31
2019,LT,Lithuania,AT,Austria,Total,From 1 to 3 nights,Total excluding durable/valuable goods,4144164.0,333.77,125.99
2019,LU,Luxembourg,AT,Austria,Total,From 1 to 3 nights,Total excluding durable/valuable goods,15173727.0,754.68,280.24
2022,LU,Luxembourg,AT,Austria,Total,From 1 to 3 nights,Total excluding durable/valuable goods,12105866.0,764.36,322.1
2019,NL,Netherlands,AT,Austria,Total,From 1 to 3 nights,Total excluding durable/valuable goods,75424557.0,616.7,230.59
2022,NL,Netherlands,AT,Austria,Total,From 1 to 3 nights,Total excluding durable/valuable goods,54802689.0,430.99,167.74
2019,PL,Poland,AT,Austria,Total,From 1 to 3 nights,Total excluding durable/valuable goods,28572532.0,390.03,154.67
2022,PL,Poland,AT,Austria,Total,From 1 to 3 nights,Total excluding durable/valuable goods,25862995.0,275.57,105.36
2019,RO,Romania,AT,Austria,Total,From 1 to 3 nights,Total excluding durable/valuable goods,13886650.0,382.73,137.64
