Year,Origin_Country_Code,Origin_Country,Destination_Country_Code,Destination_Country,Total_Expenditure_EUR,Avg_Exp_per_Trip_EUR,Avg_Exp_per_Night_EUR
2019,AL,Albania,AT,Austria,6275244.0,126.16666666666667,28.53333333333333
2019,AL,Albania,CH,Switzerland,1339693.0,115.97,32.35
2019,AL,Albania,DE,Germany,14928180.0,162.51,10.34
2019,AL,Albania,EL,Greece,119202183.0,160.23333333333335,24.463333333333335
2019,AL,Albania,FR,France,6803330.0,312.69,16.26
2019,AL,Albania,IT,Italy,98628757.0,158.27333333333334,24.900000000000002
2019,AL,Albania,PT,Portugal,6878106.0,259.91,50.58
2019,AL,Albania,TR,Turkey,19320165.0,261.66499999999996,33.055
2019,AT,Austria,AT,Austria,9583935490.0,423.11999999999995,120.05333333333333
2019,AT,Austria,BE,Belgium,55816742.0,835.96,198.86
2019,AT,Austria,CH,Switzerland,261754363.0,574.0266666666666,151.40666666666667
2019,AT,Austria,CZ,Czechia,270813868.0,542.8233333333334,155.67666666666665
2019,AT,Austria,DE,Germany,2935224200.0,606.61,175.98
2019,AT,Austria,DK,Denmark,45990263.0,856.93,154.2
2019,AT,Austria,EL,Greece,1803603242.0,1579.295,144.82
2019,AT,Austria,ES,Spain,1541496982.0,1104.8,205.66
2019,AT,Austria,FR,France,850359782.0,1130.4866666666667,208.29333333333332
2019,AT,Austria,HR,Croatia,1453806515.0,665.7633333333333,135.71333333333334
2019,AT,Austria,HU,Hungary,326515964.0,393.8966666666667,107.06333333333333
2019,AT,Austria,IE,Ireland,295187925.0,1468.8049999999998,166.67000000000002
2019,AT,Austria,IT,Italy,3603152176.0,750.6199999999999,162.11666666666667
2019,AT,Austria,NL,Netherlands,304810962.0,747.6199999999999,172.35666666666668
2019,AT,Austria,NO,Norway,103488935.0,2066.15,214.05
2019,AT,Austria,PL,Poland,162043071.0,496.1333333333334,122.80666666666667
2019,AT,Austria,PT,Portugal,332640809.0,1352.445,183.86
2019,AT,Austria,RO,Romania,213189298.0,1308.6,152.88
2019,AT,Austria,SE,Sweden,175028584.0,1214.1999999999998,129.17
2019,AT,Austria,SI,Slovenia,214458110.0,452.3533333333333,135.34333333333333
2019,AT,Austria,SK,Slovakia,57529882.0,385.57,134.49
2019,AT,Austria,TR,Turkey,434960279.0,1092.56,94.98
2019,AT,Austria,UK,United Kingdom,638349664.0,966.9200000000001,196.24333333333334
2019,BE,Belgium,AT,Austria,573899271.0,724.85,155.93333333333334
2019,BE,Belgium,BE,Belgium,1643343842.0,224.93000000000004,62.96
2019,BE,Belgium,BG,Bulgaria,138389932.0,897.435,48.675
2019,BE,Belgium,CH,Switzerland,318153838.0,599.6,143.58666666666667
2019,BE,Belgium,CZ,Czechia,114217523.0,585.11,75.2
2019,BE,Belgium,DE,Germany,802642963.0,382.09666666666664,92.64999999999999
2019,BE,Belgium,DK,Denmark,64221106.0,533.55,70.81
2019,BE,Belgium,EL,Greece,640032383.0,1052.4450000000002,93.74000000000001
2019,BE,Belgium,ES,Spain,2463951254.0,691.1966666666667,116.47666666666667
2019,BE,Belgium,FR,France,3693000656.0,448.8433333333333,91.42333333333333
2019,BE,Belgium,HR,Croatia,211861585.0,881.5250000000001,82.145
2019,BE,Belgium,HU,Hungary,133606254.0,646.035,52.205
2019,BE,Belgium,IE,Ireland,87164861.0,636.7049999999999,221.145
2019,BE,Belgium,IT,Italy,1598682336.0,660.1133333333333,114.78000000000002
2019,BE,Belgium,LU,Luxembourg,60396188.0,243.445,111.14
2019,BE,Belgium,NL,Netherlands,806858086.0,274.57,86.10666666666667
2019,BE,Belgium,NO,Norway,98967339.0,1038.76,102.845
2019,BE,Belgium,PL,Poland,136541660.0,435.2733333333333,85.59333333333332
2019,BE,Belgium,PT,Portugal,565477838.0,736.6766666666667,123.13
2019,BE,Belgium,RO,Romania,64442620.0,501.78999999999996,50.525000000000006
2019,BE,Belgium,SE,Sweden,82002058.0,730.77,75.62
2019,BE,Belgium,TR,Turkey,340785872.0,845.315,84.505
2019,BE,Belgium,UK,United Kingdom,547680106.0,528.6933333333333,129.66666666666666
2019,BG,Bulgaria,BG,Bulgaria,1012010033.0,140.85333333333335,34.68333333333333
2019,BG,Bulgaria,DE,Germany,69804079.0,493.865,45.855000000000004
2019,BG,Bulgaria,EL,Greece,195918770.0,251.58,58.416666666666664
2019,BG,Bulgaria,IT,Italy,51670117.0,607.62,103.305
2019,BG,Bulgaria,TR,Turkey,187179185.0,340.9266666666667,75.61
2019,CH,Switzerland,AT,Austria,1316730568.0,737.6466666666666,173.32333333333335
2019,CH,Switzerland,CH,Switzerland,4810994940.0,403.74333333333334,104.75333333333333
2019,CH,Switzerland,CZ,Czechia,45925647.0,394.23,61.49
2019,CH,Switzerland,DE,Germany,2806907078.0,562.2199999999999,134.34
2019,CH,Switzerland,EL,Greece,829741848.0,1353.23,137.7
2019,CH,Switzerland,ES,Spain,2121046272.0,1077.37,115.13499999999999
2019,CH,Switzerland,FR,France,2317167034.0,683.6700000000001,128.35333333333332
2019,CH,Switzerland,HR,Croatia,358729685.0,1101.065,108.815
2019,CH,Switzerland,IT,Italy,3317616387.0,654.85,122.12333333333333
2019,CH,Switzerland,NL,Netherlands,298068691.0,960.23,143.705
2019,CH,Switzerland,PT,Portugal,901992493.0,916.38,82.12
2019,CH,Switzerland,UK,United Kingdom,507757359.0,1177.0900000000001,172.935
2019,CY,Cyprus,AT,Austria,36415016.0,1088.49,225.14
2019,CY,Cyprus,BE,Belgium,42570359.0,1090.88,356.88
2019,CY,Cyprus,BG,Bulgaria,41073990.0,810.21,43.4
2019,CY,Cyprus,CY,Cyprus,421889028.0,174.76,52.45666666666667
2019,CY,Cyprus,DE,Germany,102220125.0,1255.74,148.31
2019,CY,Cyprus,EL,Greece,809655405.0,758.3866666666667,159.02666666666667
2019,CY,Cyprus,IT,Italy,95009507.0,1296.0749999999998,209.755
2019,CY,Cyprus,NL,Netherlands,126697022.0,1511.67,109.175
2019,CY,Cyprus,RO,Romania,101344972.0,977.88,73.02
2019,CY,Cyprus,UK,United Kingdom,554441336.0,1145.45,181.74
2019,CZ,Czechia,AT,Austria,441040156.0,292.3966666666667,76.05
2019,CZ,Czechia,BG,Bulgaria,199696137.0,609.9949999999999,68.43
2019,CZ,Czechia,CZ,Czechia,4417032174.0,92.78333333333335,22.463333333333335
2019,CZ,Czechia,DE,Germany,166693527.0,257.5,72.10000000000001
2019,CZ,Czechia,EL,Greece,562010271.0,677.6,76.4
2019,CZ,Czechia,ES,Spain,316113479.0,761.005,93.13499999999999
2019,CZ,Czechia,FR,France,117951055.0,506.915,86.47
2019,CZ,Czechia,HR,Croatia,655538805.0,435.04499999999996,56.230000000000004
2019,CZ,Czechia,HU,Hungary,151773106.0,295.8833333333334,70.63333333333334
2019,CZ,Czechia,IT,Italy,696662211.0,439.7833333333333,89.90666666666668
2019,CZ,Czechia,PL,Poland,158303536.0,242.48666666666668,66.61666666666666
2019,CZ,Czechia,SK,Slovakia,543057490.0,189.96666666666667,46.796666666666674
2019,CZ,Czechia,TR,Turkey,464830148.0,703.93,84.73
2019,CZ,Czechia,UK,United Kingdom,132194558.0,484.91,70.41499999999999
2019,DE,Germany,AT,Austria,13979540644.0,559.3666666666667,124.20666666666666
2019,DE,Germany,BE,Belgium,1026303967.0,453.815,148.88
2019,DE,Germany,BG,Bulgaria,499541617.0,801.48,73.12
2019,DE,Germany,CH,Switzerland,4129253898.0,614.92,132.83
2019,DE,Germany,CZ,Czechia,3491656596.0,604.9433333333333,126.10000000000001
2019,DE,Germany,DE,Germany,108022733328.0,374.5166666666667,95.66666666666667
2019,DE,Germany,DK,Denmark,3035908373.0,500.3033333333333,94.92666666666666
2019,DE,Germany,EL,Greece,6855218092.0,1103.4250000000002,116.535
2019,DE,Germany,ES,Spain,24073658046.0,976.4566666666666,168.65666666666667
2019,DE,Germany,FR,France,10650482958.0,754.1866666666666,130.54666666666665
2019,DE,Germany,HR,Croatia,3071281027.0,842.295,62.42
2019,DE,Germany,HU,Hungary,1759431635.0,790.77,122.24
2019,DE,Germany,IE,Ireland,721609366.0,964.32,105.38
2019,DE,Germany,IT,Italy,19764149370.0,760.7366666666667,141.23
2019,DE,Germany,NL,Netherlands,6915944482.0,491.59666666666664,100.14666666666666
2019,DE,Germany,NO,Norway,2976798750.0,1437.335,132.275
2019,DE,Germany,PL,Poland,3642433726.0,535.3633333333333,100.98333333333333
2019,DE,Germany,PT,Portugal,3491114869.0,929.495,104.39
2019,DE,Germany,RO,Romania,754932732.0,888.61,124.68
2019,DE,Germany,SE,Sweden,2276723475.0,769.81,70.58
2019,DE,Germany,TR,Turkey,6712516853.0,1067.19,111.57
2019,DE,Germany,UK,United Kingdom,5773437903.0,916.9266666666666,184.67666666666665
2019,DK,Denmark,AT,Austria,523962832.0,1136.745,168.82999999999998
2019,DK,Denmark,CH,Switzerland,78484938.0,910.65,220.59
2019,DK,Denmark,CZ,Czechia,108452445.0,841.17,179.91
2019,DK,Denmark,DE,Germany,2391976442.0,636.1866666666666,196.04999999999998
2019,DK,Denmark,DK,Denmark,10901401398.0,314.5733333333333,96.03666666666668
2019,DK,Denmark,EL,Greece,765111934.0,989.865,122.9
2019,DK,Denmark,ES,Spain,3879310381.0,1053.0433333333333,189.49333333333334
2019,DK,Denmark,FR,France,1028563596.0,997.3966666666666,185.1966666666667
2019,DK,Denmark,HR,Croatia,355173731.0,1552.1,131.20999999999998
2019,DK,Denmark,HU,Hungary,97489540.0,878.84,193.81
2019,DK,Denmark,IT,Italy,1623117490.0,1183.6366666666665,218.45666666666668
2019,DK,Denmark,NL,Netherlands,299413393.0,627.1533333333333,183.57000000000002
2019,DK,Denmark,NO,Norway,995787428.0,779.9699999999999,209.95000000000002
2019,DK,Denmark,PL,Poland,213048331.0,763.1800000000001,95.32499999999999
2019,DK,Denmark,PT,Portugal,322421756.0,985.75,73.1
2019,DK,Denmark,SE,Sweden,982922851.0,473.74333333333334,139.52
2019,DK,Denmark,TR,Turkey,642200391.0,1097.33,97.84
2019,DK,Denmark,UK,United Kingdom,693913172.0,820.2033333333334,213.54333333333332
2019,EE,Estonia,BG,Bulgaria,54313388.0,1277.055,154.215
2019,EE,Estonia,DE,Germany,152501429.0,859.7266666666666,190.83666666666667
2019,EE,Estonia,EE,Estonia,925714376.0,158.54666666666665,62.056666666666665
2019,EE,Estonia,EL,Greece,68851216.0,1212.76,126.03
2019,EE,Estonia,ES,Spain,215334140.0,1174.745,134.11
