Year,Origin_Country_Code,Origin_Country,Destination_Country_Code,Destination_Country,Purpose,Duration,Trips
2019,AL,Albania,AT,Austria,Personal reasons,From 1 to 3 nights,11878.0
2019,AT,Austria,AT,Austria,Personal reasons,From 1 to 3 nights,7909105.0
2022,AT,Austria,AT,Austria,Personal reasons,From 1 to 3 nights,8407853.0
2019,CH,Switzerland,AT,Austria,Personal reasons,From 1 to 3 nights,292469.0
2019,CZ,Czechia,AT,Austria,Personal reasons,From 1 to 3 nights,282668.0
2022,CZ,Czechia,AT,Austria,Personal reasons,From 1 to 3 nights,208670.0
2019,DE,Germany,AT,Austria,Personal reasons,From 1 to 3 nights,3344173.0
2022,DE,Germany,AT,Austria,Personal reasons,From 1 to 3 nights,3466011.0
2019,ES,Spain,AT,Austria,Personal reasons,From 1 to 3 nights,89438.0
2019,FR,France,AT,Austria,Personal reasons,From 1 to 3 nights,72253.0
2019,HR,Croatia,AT,Austria,Personal reasons,From 1 to 3 nights,99092.0
2022,HR,Croatia,AT,Austria,Personal reasons,From 1 to 3 nights,57704.0
2019,HU,Hungary,AT,Austria,Personal reasons,From 1 to 3 nights,481474.0
2022,HU,Hungary,AT,Austria,Personal reasons,From 1 to 3 nights,508667.0
2019,IT,Italy,AT,Austria,Personal reasons,From 1 to 3 nights,357754.0
2022,IT,Italy,AT,Austria,Personal reasons,From 1 to 3 nights,283010.0
2019,LU,Luxembourg,AT,Austria,Personal reasons,From 1 to 3 nights,17205.0
2022,LU,Luxembourg,AT,Austria,Personal reasons,From 1 to 3 nights,14007.0
2019,NL,Netherlands,AT,Austria,Personal reasons,From 1 to 3 nights,104510.0
2022,NL,Netherlands,AT,Austria,Personal reasons,From 1 to 3 nights,101643.0
2019,PL,Poland,AT,Austria,Personal reasons,From 1 to 3 nights,53263.0
2022,PL,Poland,AT,Austria,Personal reasons,From 1 to 3 nights,70033.0
2019,RO,Romania,AT,Austria,Personal reasons,From 1 to 3 nights,36283.0
2019,SI,Slovenia,AT,Austria,Personal reasons,From 1 to 3 nights,114105.0
2022,SI,Slovenia,AT,Austria,Personal reasons,From 1 to 3 nights,60833.0
2019,SK,Slovakia,AT,Austria,Personal reasons,From 1 to 3 nights,182150.0
2022,SK,Slovakia,AT,Austria,Personal reasons,From 1 to 3 nights,94837.0
2019,AL,Albania,AT,Austria,Personal reasons,1 night or over,19111.0
2019,AT,Austria,AT,Austria,Personal reasons,1 night or over,11130760.0
2022,AT,Austria,AT,Austria,Personal reasons,1 night or over,11649218.0
2019,BE,Belgium,AT,Austria,Personal reasons,1 night or over,353562.0
2022,BE,Belgium,AT,Austria,Personal reasons,1 night or over,330489.0
2019,CH,Switzerland,AT,Austria,Personal reasons,1 night or over,787723.0
2019,CY,Cyprus,AT,Austria,Personal reasons,1 night or over,26691.0
2019,CZ,Czechia,AT,Austria,Personal reasons,1 night or over,692036.0
2022,CZ,Czechia,AT,Austria,Personal reasons,1 night or over,536784.0
2019,DE,Germany,AT,Austria,Personal reasons,1 night or over,10763642.0
2022,DE,Germany,AT,Austria,Personal reasons,1 night or over,11160614.0
2019,DK,Denmark,AT,Austria,Personal reasons,1 night or over,235130.0
2019,EL,Greece,AT,Austria,Personal reasons,1 night or over,38052.0
2022,EL,Greece,AT,Austria,Personal reasons,1 night or over,12609.0
2019,ES,Spain,AT,Austria,Personal reasons,1 night or over,201952.0
2022,ES,Spain,AT,Austria,Personal reasons,1 night or over,166530.0
2019,FI,Finland,AT,Austria,Personal reasons,1 night or over,88532.0
2019,FR,France,AT,Austria,Personal reasons,1 night or over,361556.0
2022,FR,France,AT,Austria,Personal reasons,1 night or over,302866.0
2019,HR,Croatia,AT,Austria,Personal reasons,1 night or over,159410.0
2022,HR,Croatia,AT,Austria,Personal reasons,1 night or over,87851.0
2019,HU,Hungary,AT,Austria,Personal reasons,1 night or over,674656.0
2022,HU,Hungary,AT,Austria,Personal reasons,1 night or over,802202.0
2019,IE,Ireland,AT,Austria,Personal reasons,1 night or over,67465.0
2019,IT,Italy,AT,Austria,Personal reasons,1 night or over,451271.0
2022,IT,Italy,AT,Austria,Personal reasons,1 night or over,408050.0
2019,LT,Lithuania,AT,Austria,Personal reasons,1 night or over,13034.0
2022,LT,Lithuania,AT,Austria,Personal reasons,1 night or over,15749.0
2019,LU,Luxembourg,AT,Austria,Personal reasons,1 night or over,80000.0
2022,LU,Luxembourg,AT,Austria,Personal reasons,1 night or over,78934.0
