Origin_Country_Code,Origin_Country,Destination_Country_Code,Destination_Country,Trips_2019,Trips_2022
AT,Austria,CH,Switzerland.,358676,502890
AT,Austria,CZ,Czechia.,526208,651383
AT,Austria,DE,Germany.,5117998,4028545
AT,Austria,EL,Greece.,1121761,1021285
AT,Austria,ES,Spain.,1145030,1146625
AT,Austria,FR,France.,635829,616688
AT,Austria,HR,Croatia.,1939654,2711664
AT,Austria,HU,Hungary.,812455,952675
AT,Austria,IE,Ireland.,148937,126863
AT,Austria,IT,Italy.,4538437,5157038
AT,Austria,NL,Netherlands.,355542,219133
AT,Austria,NO,Norway.,50088,80708
AT,Austria,PL,Poland.,221284,353651
AT,Austria,PT,Portugal.,228457,245959
AT,Austria,RO,Romania.,129428,119541
AT,Austria,SE,Sweden.,120904,78990
AT,Austria,SI,Slovenia.,473046,562031
AT,Austria,SK,Slovakia.,115461,406637
AT,Austria,TR,Turkey.,379983,433289
AT,Austria,UK,United Kingdom.,544694,465979
BE,Belgium,AT,Austria.,664272,618726
BE,Belgium,BG,Bulgaria.,146848,102926
BE,Belgium,CH,Switzerland.,501601,398115
BE,Belgium,CZ,Czechia.,126023,57391
BE,Belgium,DE,Germany.,2164835,1612755
BE,Belgium,DK,Denmark.,49525,120940
BE,Belgium,EL,Greece.,577996,663349
BE,Belgium,ES,Spain.,3130451,3324420
BE,Belgium,FR,France.,7777548,8271010
BE,Belgium,HR,Croatia.,240820,197242
BE,Belgium,HU,Hungary.,204546,149365
BE,Belgium,IE,Ireland.,44287,87074
BE,Belgium,IT,Italy.,2135790,2053569
BE,Belgium,LU,Luxembourg.,229213,322550
BE,Belgium,NL,Netherlands.,3192751,2798013
BE,Belgium,NO,Norway.,85710,90998
BE,Belgium,PL,Poland.,253734,228689
BE,Belgium,PT,Portugal.,612389,656604
BE,Belgium,RO,Romania.,123626,188499
BE,Belgium,SE,Sweden.,90819,144222
BE,Belgium,TR,Turkey.,388486,604787
BE,Belgium,UK,United Kingdom.,1063493,568116
BG,Bulgaria,DE,Germany.,99272,64225
BG,Bulgaria,EL,Greece.,708106,478050
BG,Bulgaria,IT,Italy.,78715,114770
BG,Bulgaria,TR,Turkey.,508901,447973
CY,Cyprus,EL,Greece.,1035052,896559
CY,Cyprus,IT,Italy.,54071,87210
CY,Cyprus,UK,United Kingdom.,391656,274356
CZ,Czechia,AT,Austria.,1384072,1073568
CZ,Czechia,BG,Bulgaria.,327394,264174
CZ,Czechia,DE,Germany.,674842,403198
CZ,Czechia,EL,Greece.,819068,725468
CZ,Czechia,ES,Spain.,401757,562315
CZ,Czechia,FR,France.,225646,261032
CZ,Czechia,HR,Croatia.,1490017,1695480
CZ,Czechia,HU,Hungary.,474450,546384
CZ,Czechia,IT,Italy.,1387850,1213550
CZ,Czechia,PL,Poland.,581094,833714
CZ,Czechia,SK,Slovakia.,2714072,2299365
CZ,Czechia,TR,Turkey.,647734,508900
CZ,Czechia,UK,United Kingdom.,232693,77380
DE,Germany,AT,Austria.,23269960,23068373
DE,Germany,BE,Belgium.,1256044,693848
DE,Germany,CH,Switzerland.,6101048,4336761
DE,Germany,CZ,Czechia.,5148752,1848000
DE,Germany,DK,Denmark.,5269803,5734479
DE,Germany,EL,Greece.,6100944,6608344
DE,Germany,ES,Spain.,21044345,17610115
DE,Germany,FR,France.,12458312,11565006
DE,Germany,HR,Croatia.,3654337,6593975
DE,Germany,HU,Hungary.,1725692,382539
DE,Germany,IT,Italy.,22478242,23436004
DE,Germany,NL,Netherlands.,13316970,10920194
DE,Germany,NO,Norway.,2039483,2086586
DE,Germany,PL,Poland.,5328570,4978164
DE,Germany,PT,Portugal.,3602907,3863508
DE,Germany,SE,Sweden.,2852986,2357762
DE,Germany,TR,Turkey.,6163556,6700888
DE,Germany,UK,United Kingdom.,5410659,3414839
EE,Estonia,DE,Germany.,142073,54952
EE,Estonia,EL,Greece.,56772,67650
EE,Estonia,ES,Spain.,158869,114917
EE,Estonia,FI,Finland.,376651,266631
EE,Estonia,FR,France.,29637,24002
EE,Estonia,IT,Italy.,94210,154472
EE,Estonia,LT,Lithuania.,69790,26564
EE,Estonia,LV,Latvia.,372803,231753
EE,Estonia,PL,Poland.,24685,16461
EE,Estonia,SE,Sweden.,156817,126873
EE,Estonia,TR,Turkey.,109992,163268
EE,Estonia,UK,United Kingdom.,75823,23888
EL,Greece,AT,Austria.,67220,12609
EL,Greece,BG,Bulgaria.,60671,45985
EL,Greece,CY,Cyprus.,82557,72224
EL,Greece,DE,Germany.,118241,117952
EL,Greece,ES,Spain.,15111,77984
EL,Greece,FR,France.,48401,94134
EL,Greece,HU,Hungary.,17679,33226
EL,Greece,IT,Italy.,107604,192334
EL,Greece,NL,Netherlands.,84957,12820
EL,Greece,RO,Romania.,39605,53499
EL,Greece,TR,Turkey.,151012,85490
EL,Greece,UK,United Kingdom.,128165,141174
ES,Spain,AT,Austria.,403904,305907
ES,Spain,BE,Belgium.,740120,444214
ES,Spain,CH,Switzerland.,381822,224360
ES,Spain,CZ,Czechia.,322332,225942
ES,Spain,DE,Germany.,2077257,1209127
ES,Spain,DK,Denmark.,91011,68200
ES,Spain,EL,Greece.,562211,516498
ES,Spain,FR,France.,5120373,5016606
ES,Spain,HR,Croatia.,139001,129722
ES,Spain,HU,Hungary.,304945,146731
ES,Spain,IE,Ireland.,443032,234028
